2024-06-27 14:08:14 install libgpg-error0:arm64 <none> 1.43-3
2024-06-27 14:08:14 status half-installed libgpg-error0:arm64 1.43-3
2024-06-27 14:08:14 status unpacked libgpg-error0:arm64 1.43-3
2024-06-27 14:08:14 install libgssapi-krb5-2:arm64 <none> 1.19.2-2
2024-06-27 14:08:14 status half-installed libgssapi-krb5-2:arm64 1.19.2-2
2024-06-27 14:08:14 status unpacked libgssapi-krb5-2:arm64 1.19.2-2
2024-06-27 14:08:14 install libk5crypto3:arm64 <none> 1.19.2-2
2024-06-27 14:08:14 status half-installed libk5crypto3:arm64 1.19.2-2
2024-06-27 14:08:14 status unpacked libk5crypto3:arm64 1.19.2-2
2024-06-27 14:08:14 install libkeyutils1:arm64 <none> 1.6.1-2ubuntu3
2024-06-27 14:08:14 status half-installed libkeyutils1:arm64 1.6.1-2ubuntu3
2024-06-27 14:08:14 status unpacked libkeyutils1:arm64 1.6.1-2ubuntu3
2024-06-27 14:08:14 install libkrb5-3:arm64 <none> 1.19.2-2
2024-06-27 14:08:14 status half-installed libkrb5-3:arm64 1.19.2-2
2024-06-27 14:08:14 status unpacked libkrb5-3:arm64 1.19.2-2
2024-06-27 14:08:14 install libkrb5support0:arm64 <none> 1.19.2-2
2024-06-27 14:08:14 status half-installed libkrb5support0:arm64 1.19.2-2
2024-06-27 14:08:14 status unpacked libkrb5support0:arm64 1.19.2-2
2024-06-27 14:08:15 install liblz4-1:arm64 <none> 1.9.3-2build2
2024-06-27 14:08:15 status half-installed liblz4-1:arm64 1.9.3-2build2
2024-06-27 14:08:15 status unpacked liblz4-1:arm64 1.9.3-2build2
2024-06-27 14:08:15 install liblzma5:arm64 <none> 5.2.5-2ubuntu1
2024-06-27 14:08:15 status half-installed liblzma5:arm64 5.2.5-2ubuntu1
2024-06-27 14:08:15 status unpacked liblzma5:arm64 5.2.5-2ubuntu1
2024-06-27 14:08:15 install libmount1:arm64 <none> 2.37.2-4ubuntu3
2024-06-27 14:08:15 status half-installed libmount1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:15 status unpacked libmount1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:15 install libncurses6:arm64 <none> 6.3-2
2024-06-27 14:08:15 status half-installed libncurses6:arm64 6.3-2
2024-06-27 14:08:15 status unpacked libncurses6:arm64 6.3-2
2024-06-27 14:08:15 install libncursesw6:arm64 <none> 6.3-2
2024-06-27 14:08:15 status half-installed libncursesw6:arm64 6.3-2
2024-06-27 14:08:15 status unpacked libncursesw6:arm64 6.3-2
2024-06-27 14:08:15 install libnsl2:arm64 <none> 1.3.0-2build2
2024-06-27 14:08:15 status half-installed libnsl2:arm64 1.3.0-2build2
2024-06-27 14:08:15 status unpacked libnsl2:arm64 1.3.0-2build2
2024-06-27 14:08:15 install libpam-modules:arm64 <none> 1.4.0-11ubuntu2
